District code,State name,District name,Population,Male,Female,Male_Literate,Female_Literate,Literate,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households with any usual member covered under a health insurance/financing sche,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to c,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to con,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastoli,Female Moderately or severely elevated blood pressure (%),Female Elevated blood pressure or taking medicine to control blood pressure (%),Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic ,Male Moderately or severely elevated blood pressure (%),Male Elevated blood pressure or taking medicine to control blood pressure (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who use any kind of tobacco (%),Average GDP,total facilities
617,tamil nadu,cuddalore,2605914,1311697,1294217,1000322,814959,1815281,1364411,764669,473617,3217,64.4,20.5,20.7,11.8,4.5,20.1,16.9,8.3,27,7.5,24.4,,286
618,tamil nadu,nagapattinam,1616450,798127,818323,640916,572092,1213008,828444,463326,323706,974,70.9,19.4,19.9,13.3,7.1,24.5,19.9,9.4,32.1,10.4,24.9,,226
619,tamil nadu,thiruvarur,1264277,626693,637584,503085,443386,946471,627880,377118,257116,2163,75.2,26.5,25.9,14.4,5.1,23.8,18,7.8,31,11.5,24.3,,170
620,tamil nadu,thanjavur,2405890,1182416,1223474,944264,846734,1790998,1193095,712017,499235,1543,70.6,23.3,29,17,7,28.8,19.7,10,34.6,7.6,22.4,78733.14286,161
621,tamil nadu,pudukkottai,1618345,803188,815157,608776,501769,1110545,835853,470428,311175,889,72.9,18.5,23,11.7,5.3,23,17.3,7.5,30.2,7.6,28.3,,233
622,tamil nadu,sivaganga,1339101,668672,670429,526304,433440,959744,666218,391356,280462,1065,67.7,22.7,26.2,13,3.9,22,14.9,6.8,26,2.4,17.5,,162
623,tamil nadu,madurai,3038252,1526475,1511777,1223810,1049620,2273430,1528178,913715,593827,2532,66.3,21.2,22.7,15.9,5.4,25.6,22.4,6,31.8,0.8,20.3,149841.8571,216
624,tamil nadu,theni,1245899,625683,620216,479403,390677,870080,618923,373564,252267,1145,67.4,22.9,23.1,20,6.1,28.7,25.4,7.9,35.6,4.3,21.3,,34
625,tamil nadu,virudhunagar,1942288,967709,974579,760375,638413,1398788,987538,575006,378174,1570,51.3,19.2,21.6,10.2,4.3,20.2,13.3,6,22.9,1.8,18.8,,160
626,tamil nadu,ramanathapuram,1353445,682658,670787,536487,442459,978946,708322,389764,252888,2471,69.7,17.2,20.2,14.1,6,23.3,18.4,7.4,28.2,1.1,22.8,41112.71429,146
627,tamil nadu,thoothukkudi,1750176,865021,885155,703106,646591,1349697,887717,499377,361374,1708,57.8,22,25.4,15.5,5.2,24.5,17.3,7.5,28.2,1.4,18.5,,
628,tamil nadu,tirunelveli,3077233,1520912,1556321,1210710,1062747,2273457,1554277,876129,644563,2264,61.3,21,22.3,12.8,5.8,22.1,15.5,6.4,25.5,0.7,16.3,127504.2857,205
629,tamil nadu,kanniyakumari,1870374,926345,944029,780541,768197,1548738,887052,556548,425849,925,64.1,29,25.2,13.5,6.3,24.4,19.5,6.1,30.2,1,11,76318.14286,56
630,tamil nadu,dharmapuri,1506843,774303,732540,527599,390110,917709,804186,434328,267536,793,75.5,15.4,18.1,15,8.1,25.8,20.6,8.3,30.8,7.9,24.6,,132
631,tamil nadu,krishnagiri,1879809,960232,919577,667062,520896,1187958,1034474,533183,311238,914,73.6,14,15,14.9,6.2,23.5,16.4,7.3,25.3,8.2,20.3,,164
632,tamil nadu,coimbatore,3458045,1729297,1728748,1394790,1241117,2635907,1579517,1117221,757738,3569,61,19.1,18.3,17.1,7.9,29.2,23.3,7.6,33.3,5.5,21.4,262184.4286,284
633,tamil nadu,tiruppur,2479052,1246159,1232893,959623,800943,1760566,1177987,794639,504674,1752,59.9,18.3,18.6,15.8,7.4,26.8,19,7,28.9,5.7,22.8,,
634,pondicherry,yanam,55626,27301,28325,19919,19355,39274,31973,15235,8402,16,29.2,22,24.7,16.3,7.9,32.2,20,8.4,33.3,0.8,10.3,,
635,pondicherry,pondicherry,950289,468258,482031,380946,345703,726649,473705,299746,176204,634,31.3,19.1,21,11.5,3.5,22.7,20,6.1,31.1,2.1,14,,
636,pondicherry,mahe,41816,19143,22673,16610,19860,36470,19760,12543,9428,85,23.6,27.1,28.6,20.2,9.3,33.3,24.8,9.4,37.7,1,12.6,,
637,pondicherry,karaikal,200222,97809,102413,79903,75013,154916,102333,60089,37434,366,26.9,22.4,22.8,12.1,4.1,20.5,14.5,6.6,24.4,5.1,19.5,,19
638,andaman and nicobar islands,nicobars,36842,20727,16115,15397,9935,25332,18786,12088,5922,46,2.7,13.1,15.4,23.2,8.5,35.4,32.9,11.1,47,63.5,76.8,,47
639,andaman and nicobar islands,north  and middle andaman,105597,54861,50736,43186,35497,78683,57350,30741,17464,42,2.1,16.7,18.3,18.4,4,27.4,22.6,6,32.2,46.8,70.5,,37
640,andaman and nicobar islands,south andaman,238142,127283,110859,105794,84472,190266,128402,76332,33128,280,1.2,18.4,18.1,12.7,4.9,23,17.9,6.1,26.9,19.6,50.8,,27
