District code,State name,District name,Population,Male,Female,Male_Literate,Female_Literate,Literate,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households with any usual member covered under a health insurance/financing sche,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to c,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to con,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastoli,Female Moderately or severely elevated blood pressure (%),Female Elevated blood pressure or taking medicine to control blood pressure (%),Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic ,Male Moderately or severely elevated blood pressure (%),Male Elevated blood pressure or taking medicine to control blood pressure (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who use any kind of tobacco (%),Average GDP,total facilities
413,chhattisgarh,uttar bastar kanker,748941,373338,375603,258298,197744,456042,437598,197603,113450,290,84.8,7.4,8.8,17.2,9.1,27,20.8,8.6,30.2,16.5,39.4,,395
414,chhattisgarh,bastar,1413199,698487,714712,382335,268528,650863,864272,358157,189569,1201,69.3,9,11.4,13.1,7.2,23.7,16.8,5.7,24.1,36.4,55.8,27805.71429,395
415,chhattisgarh,narayanpur,139820,70104,69716,33449,23172,56621,91338,33956,14367,159,83.1,7,8.8,13.4,3.7,18.8,16.1,4.2,21.1,32.7,51.3,101824.5714,16
416,chhattisgarh,dantewada,533638,264142,269496,116529,74708,191237,334987,140188,58170,293,82.2,8.1,10.7,14.8,2.6,19.1,18.5,3.7,23.7,38.1,55.7,,130
417,chhattisgarh,bijapur,255230,128663,126567,54076,32843,86919,167348,63802,23927,153,73.5,8.3,9.2,9.7,3.5,15,16.2,4.5,21.6,44.4,61.9,56487.71429,400
418,madhya pradesh,sheopur,687861,361784,326077,208201,119824,328025,449974,155063,82416,408,27.1,9.6,10.1,13.9,4.1,19.2,17.5,7.4,25.7,13.9,53.4,,117
419,madhya pradesh,morena,1965970,1068417,897553,747652,432033,1179685,1254302,452484,257704,1480,36.3,11.7,16.8,9.6,4.5,14.9,13.6,4.2,19.1,4.9,39.3,49697.28571,229
420,madhya pradesh,bhind,1703005,926843,776162,676513,418404,1094917,1040736,399676,258588,4005,31,12.7,13.8,10.6,3.5,15.2,12,4.3,17,5.6,37.9,32238.14286,230
421,madhya pradesh,gwalior,2032036,1090327,941709,803114,554096,1357210,1218319,519728,291451,2538,40.6,11.1,13,12.6,4.9,19.9,16.9,6.3,25.1,4.6,30.2,77462.42857,120
422,madhya pradesh,datia,786754,420157,366597,303815,187630,491445,473097,195131,118186,340,30.9,12.2,14.6,10.6,3.4,15.3,14.1,4.4,19.7,6.7,44.7,11888.14286,108
423,madhya pradesh,shivpuri,1726050,919795,806255,573242,327604,900846,1106084,389652,227989,2325,38.9,10,15.1,8.9,3.5,13.7,11.2,3.1,15.7,7.5,43.4,29978.42857,267
424,madhya pradesh,tikamgarh,1445166,760355,684811,459353,288587,747940,898323,343824,201875,1144,40.5,12.2,14.9,11.3,1.8,14.4,10.5,2.1,12.9,5.6,53.9,19265.71429,222
425,madhya pradesh,chhatarpur,1762375,936121,826254,572010,371023,943033,1112636,394060,252417,3262,17.1,9,12.7,12.4,3.3,17.2,12.9,3.4,17.5,10.8,60.5,27135.57143,281
426,madhya pradesh,panna,1016520,533480,483040,332140,220419,552559,635347,235035,144827,1311,12.6,8.6,12.5,10.4,4.3,16.1,9.4,3.8,14.4,13.6,55.5,13299.57143,179
427,madhya pradesh,sagar,2378458,1256257,1122201,908607,637112,1545719,1470688,569166,335432,3172,27.5,7,10.6,16.1,6.6,25.3,17.7,6.8,26.4,10.6,51.6,51631.14286,320
428,madhya pradesh,damoh,1264219,661873,602346,445737,301978,747715,768929,312593,181403,1294,21.6,8.5,10,13.6,6.3,22.6,14.6,5,21.4,16.1,55.4,20264.57143,182
429,madhya pradesh,satna,2228935,1157495,1071440,801051,570730,1371781,1365647,535086,326049,2153,22,10.4,15.1,10,4.1,16.2,11.7,3.1,16.3,6.3,55.9,53025.14286,367
430,madhya pradesh,rewa,2365106,1225100,1140006,845572,596185,1441757,1460075,540235,362228,2568,29.4,12.4,14.4,12.7,3.7,17.6,14.9,4.2,20.1,7.6,55.3,38074.28571,369
431,madhya pradesh,umaria,644758,330674,314084,210907,145765,356672,403030,158140,82984,604,19.9,9.4,13.1,14.2,5.8,20.9,17.5,3.8,22.1,13.9,59.1,,124
432,madhya pradesh,neemuch,826067,422653,403414,307889,200945,508834,476995,217403,131227,442,43.3,9.8,10,17.4,7,26,19.5,7.1,28.5,3,31.1,,
433,madhya pradesh,mandsaur,1340411,682851,657560,502898,331693,834591,781000,346861,211815,735,48.4,10.2,11.6,18.2,9.4,29.6,24.5,10.2,36.2,2.3,35.3,37136.14286,223
434,madhya pradesh,ratlam,1455069,738241,716828,485090,340790,825880,876905,363858,213560,746,37.9,7.9,9.7,13.4,6.3,21.3,18.3,5.4,24,3.9,33.9,40487,221
435,madhya pradesh,ujjain,1986864,1016289,970575,730817,510173,1240990,1156749,508302,320502,1311,35.7,8.2,10.8,14.5,6.1,23.3,17.3,6.1,25,4.7,38.1,62683.42857,230
436,madhya pradesh,shajapur,1512681,780520,732161,543509,351103,894612,901161,369741,240768,1011,34.3,7,7.5,14.7,6.8,23.3,17.5,7.2,26.1,5.3,46.6,36092.85714,219
437,madhya pradesh,dewas,1563715,805359,758356,550716,374653,925369,943954,388648,230280,833,35.1,7.9,9.3,14.3,7.6,24.4,18.3,9,28.6,7.3,42.1,46817.42857,228
438,madhya pradesh,dhar,2185793,1112725,1073068,638479,438859,1077338,1377326,533243,273050,2174,30.3,9.7,10.5,13.9,4.3,19.9,14.9,3.8,19.8,7.4,44.1,58464,522
439,madhya pradesh,indore,3276697,1699627,1577070,1289631,1019499,2309130,1877270,894464,493096,11867,40.3,9.9,10.5,13.2,4.1,20.7,15.2,4.3,21.3,4.6,36.3,224656,156
440,madhya pradesh,khargone (west nimar),1873046,953121,919925,575428,410806,986234,1166866,450248,254570,1362,43.7,8.9,9.4,13.6,5.9,21.2,17.6,6.5,24.9,8.5,43,40775,391
441,madhya pradesh,barwani,1385881,699340,686541,313642,236284,549926,923665,302833,158594,789,29.2,8.5,9.6,15.2,4.8,21.1,19.3,4.7,25,9.9,43.8,,350
442,madhya pradesh,rajgarh,1545814,790212,755602,488797,315448,804245,935230,363218,246447,919,27.1,7.6,8.4,14.7,6.7,24.4,15.3,7.1,24,7.5,48.8,30943,220
443,madhya pradesh,vidisha,1458875,769568,689307,512344,350574,862918,919239,335690,203005,941,48.2,12.2,14.1,9.6,4.5,17.2,12.7,4.1,18.1,8.8,54,25952,229
